"CategoryFolder","CategoryName","TemplateFile","TemplateId","TemplateName","Description","PrimaryCommands","ParameterIds","TemplatePath"
"04-ItemLogic","ItemLogic","CheckItemSpace.json","hgss.item.check_item_space","Check Item Space","Pre-checks bag capacity and branches when no space is available.","CheckItemSpace;CompareVarValue;JumpIf","itemId;quantity;resultVar;bagFullFunctionId","Template-Scripts/04-ItemLogic/CheckItemSpace.json"
"04-ItemLogic","ItemLogic","GiveItem.json","hgss.item.give_item","Give Item","Direct item grant command pattern with explicit result variable.","GiveItem","itemId;quantity;resultVar","Template-Scripts/04-ItemLogic/GiveItem.json"
"04-ItemLogic","ItemLogic","GiveItemWithFlag.json","hgss.item.give_item_once_with_flag","Give Item With Flag","Canonical one-time reward flow: check flag, check bag space, give item via common script, set flag.","CheckFlag;JumpIf;SetVar;CheckItemSpace;CompareVarValue;CommonScript;SetFlag;Message;WaitButton;CloseMessage","scriptId;flagId;itemId;quantity;resultVar;giveItemCommonScriptId;bagFullCommonScriptId;successMessageId;alreadyMessageId;alreadyFunctionId;bagFullFunctionId","Template-Scripts/04-ItemLogic/GiveItemWithFlag.json"
"05-Movement","Movement","BasicWalk.json","hgss.movement.basic_walk","Basic Walk","Simple movement application with one generated action container and wait.","Movement;WaitMovement;ReleaseAll;End;${stepCommand}","scriptId;targetEventId;actionId;stepCommand;stepCount","Template-Scripts/05-Movement/BasicWalk.json"
"05-Movement","Movement","MovementWithBranch.json","hgss.movement.branching_paths","Movement With Branch","Branches between two movement action paths based on a flag check.","CheckFlag;JumpIf;Movement;WaitMovement;Jump;ReleaseAll;End;WalkNorth8;WalkSouth8","scriptId;flagId;targetEventId;primaryActionId;alternateActionId;altFunctionId;endFunctionId","Template-Scripts/05-Movement/MovementWithBranch.json"
"05-Movement","Movement","PatrolSequence.json","hgss.movement.patrol_sequence","Patrol Sequence","Rectangular patrol movement sequence for NPC pathing.","Movement;WaitMovement;WalkNorth8;WalkEast8;WalkSouth8;WalkWest8;End","targetEventId;actionId;northSteps;eastSteps;southSteps;westSteps","Template-Scripts/05-Movement/PatrolSequence.json"
"06-CommonScripts","CommonScripts","BagFullCommonScript.json","hgss.common.bag_full","Bag Full Common Script","Invoke bag-full common script and terminate.","CommonScript;End","scriptId;commonScriptId","Template-Scripts/06-CommonScripts/BagFullCommonScript.json"
"06-CommonScripts","CommonScripts","CommonScriptCall.json","hgss.common.call_common_script","Common Script Call","Invokes an HGSS common script ID and terminates with configurable command.","CommonScript;${terminator}","commonScriptId;terminator","Template-Scripts/06-CommonScripts/CommonScriptCall.json"
"06-CommonScripts","CommonScripts","GiveItemVerboseCommonScript.json","hgss.common.give_item_verbose","Give Item Verbose Common Script","Invoke verbose item-give common script.","CommonScript;End","scriptId;commonScriptId","Template-Scripts/06-CommonScripts/GiveItemVerboseCommonScript.json"
"06-CommonScripts","CommonScripts","SignpostCommonScript.json","hgss.common.signpost","Signpost Common Script","Invoke signpost common script utility.","CommonScript;End","scriptId;commonScriptId","Template-Scripts/06-CommonScripts/SignpostCommonScript.json"
"06-CommonScripts","CommonScripts","YesNoPrompt.json","hgss.common.yes_no_prompt","Yes No Prompt","Canonical touchscreen yes/no prompt block with explicit result variable and branch callbacks.","OpenTouchScreen;YesNoTouchScreen;CloseTouchScreen;CompareVarValue;CallIf;Return","resultVar;yesFunctionId;noFunctionId","Template-Scripts/06-CommonScripts/YesNoPrompt.json"
"07-FlowControl","FlowControl","CallFunction.json","hgss.flow.call_function","Call Function","Call a target function and return to caller flow.","Call","scriptId;functionId","Template-Scripts/07-FlowControl/CallFunction.json"
"07-FlowControl","FlowControl","CallIfCondition.json","hgss.flow.callif_condition","CallIf Condition","Compare variable and call conditional function.","CompareVarValue;CallIf","scriptId;varId;value;condition;functionId","Template-Scripts/07-FlowControl/CallIfCondition.json"
"07-FlowControl","FlowControl","JumpFunction.json","hgss.flow.jump_function","Jump Function","Jump to target function without returning to caller flow.","Jump","scriptId;functionId","Template-Scripts/07-FlowControl/JumpFunction.json"
"07-FlowControl","FlowControl","JumpIfCondition.json","hgss.flow.jumpif_condition","JumpIf Condition","Compare variable and jump conditional function.","CompareVarValue;JumpIf","scriptId;varId;value;condition;functionId","Template-Scripts/07-FlowControl/JumpIfCondition.json"
"07-FlowControl","FlowControl","LocalScriptEnd.json","hgss.flow.local_script_end","Local Script End","Terminate current script context with LocalScript.","LocalScript","scriptId","Template-Scripts/07-FlowControl/LocalScriptEnd.json"
"07-FlowControl","FlowControl","ReturnFunction.json","hgss.flow.return_function","Return Function","Minimal function that returns to caller.","Return","functionId","Template-Scripts/07-FlowControl/ReturnFunction.json"
"08-VisualAudio","VisualAudio","FadeOutIn.json","hgss.visual.fade_out_in","Fade Out In","Fade to black and fade back in with waits.","FadeScreen;WaitFadeScreen","scriptId;frameCount;duration","Template-Scripts/08-VisualAudio/FadeOutIn.json"
"08-VisualAudio","VisualAudio","FadeWarpFadeIn.json","hgss.visual.fade_warp_fade_in","Fade Warp Fade In","Fade out, warp to destination, then fade in.","FadeScreen;WaitFadeScreen;Warp","scriptId;mapId;doorId;x;y;dir","Template-Scripts/08-VisualAudio/FadeWarpFadeIn.json"
"08-VisualAudio","VisualAudio","PlayFanfareThenMessage.json","hgss.visual.fanfare_message","Play Fanfare Then Message","Play fanfare then show message line.","PlayFanfare;Message;WaitButton;CloseMessage","scriptId;fanfare;messageId","Template-Scripts/08-VisualAudio/PlayFanfareThenMessage.json"
"08-VisualAudio","VisualAudio","PlaySoundAndWait.json","hgss.visual.play_sound_wait","Play Sound And Wait","Play a sound ID and wait until playback is complete.","PlaySound;WaitSound","scriptId;soundId","Template-Scripts/08-VisualAudio/PlaySoundAndWait.json"
"08-VisualAudio","VisualAudio","ShakeCameraCue.json","hgss.visual.shake_camera_cue","Shake Camera Cue","Play cue and shake camera with configurable intensity.","PlayFanfare;ShakeCamera","scriptId;fanfare;xMagnitude;yMagnitude;count;time","Template-Scripts/08-VisualAudio/ShakeCameraCue.json"
"09-Pokemon","Pokemon","ChoosePokemonAndCheckMove.json","hgss.pokemon.choose_and_check_move","Choose Pokemon And Check Move","Open selection, handle cancel, then branch by move check result.","FadeScreen;WaitFadeScreen;ChoosePokemonSelection;GetSelectedPartySlot;ReturnScreen;CompareVarValue;JumpIf;CheckPokemonHasMove;Jump","scriptId;slotVar;resultVar;moveId;cancelFunctionId;hasMoveFunctionId;noMoveFunctionId","Template-Scripts/09-Pokemon/ChoosePokemonAndCheckMove.json"
"09-Pokemon","Pokemon","GivePokemonGift.json","hgss.pokemon.give_pokemon_gift","Give Pokemon Gift","Give a Pokemon and branch by result variable.","GivePokemon;CompareVarValue;JumpIf;Jump","scriptId;speciesId;level;heldItemId;form;ability;resultVar;successFunctionId;failFunctionId","Template-Scripts/09-Pokemon/GivePokemonGift.json"
"09-Pokemon","Pokemon","HealPartyInteraction.json","hgss.pokemon.heal_party_interaction","Heal Party Interaction","Play heal cue, heal party, and show confirmation dialogue.","PlaySound;WaitSound;HealPokemon;Message;WaitButton;CloseMessage","scriptId;healCue;messageId","Template-Scripts/09-Pokemon/HealPartyInteraction.json"
"09-Pokemon","Pokemon","PartyNicknameDialogue.json","hgss.pokemon.party_nickname_dialogue","Party Nickname Dialogue","Buffer selected party nickname and show a message with STRVAR output.","TextPokeNickname;Message;WaitButton;CloseMessage","scriptId;bufferId;partySlot;messageId","Template-Scripts/09-Pokemon/PartyNicknameDialogue.json"
"10-Overworld","Overworld","AddOverworldIfFlagUnset.json","hgss.overworld.add_if_flag_unset","Add Overworld If Flag Unset","Check flag, add OW if not active, and set state flag.","CheckFlag;JumpIf;AddOW;SetFlag","scriptId;flagId;eventId;alreadyFunctionId","Template-Scripts/10-Overworld/AddOverworldIfFlagUnset.json"
"10-Overworld","Overworld","GetOwPositionBranch.json","hgss.overworld.get_position_branch","Get OW Position Branch","Read OW coordinates and branch by expected X value.","GetOWPosition;CompareVarValue;JumpIf;Jump","scriptId;eventId;xVar;yVar;expectedX;matchFunctionId;mismatchFunctionId","Template-Scripts/10-Overworld/GetOwPositionBranch.json"
"10-Overworld","Overworld","RemoveOverworldIfFlagSet.json","hgss.overworld.remove_if_flag_set","Remove Overworld If Flag Set","Check flag, remove OW if active, and clear state flag.","CheckFlag;JumpIf;RemoveOW;ClearFlag","scriptId;flagId;eventId;skipFunctionId","Template-Scripts/10-Overworld/RemoveOverworldIfFlagSet.json"
"10-Overworld","Overworld","SetOwMovementType.json","hgss.overworld.set_ow_movement_type","Set OW Movement Type","Set default movement type for a target overworld event.","SetOWMovement","scriptId;eventId;movementType","Template-Scripts/10-Overworld/SetOwMovementType.json"
"11-TextAndBoards","TextAndBoards","BoardMessageInteraction.json","hgss.text.board_message_interaction","Board Message Interaction","Set board UI, wait interaction, then run board message flow.","SetTextBoard;ShowBoard;WaitBoard;BoardMessage;CommonScript;End","scriptId;boardType;boardIcon;process;messageId;resultVar;commonScriptId","Template-Scripts/11-TextAndBoards/BoardMessageInteraction.json"
"11-TextAndBoards","TextAndBoards","MessageFromCommonArchive.json","hgss.text.message_from_common_archive","Message From Common Archive","Resolve common archive and display archive-specific message.","GetCommonMessageArchive;MessageFromArchive;WaitButton;CloseMessage","scriptId;archiveLookupId;archiveVar;messageId","Template-Scripts/11-TextAndBoards/MessageFromCommonArchive.json"
"11-TextAndBoards","TextAndBoards","PlayerNameMessage.json","hgss.text.player_name_message","Player Name Message","Buffer player name and show personalized message line.","TextPlayerName;Message;WaitButton;CloseMessage","scriptId;bufferId;messageId","Template-Scripts/11-TextAndBoards/PlayerNameMessage.json"
"11-TextAndBoards","TextAndBoards","TextItemMessage.json","hgss.text.text_item_message","Text Item Message","Buffer item name and display message containing item placeholder.","TextItem;Message;WaitButton;CloseMessage","scriptId;bufferId;itemId;messageId","Template-Scripts/11-TextAndBoards/TextItemMessage.json"
"11-TextAndBoards","TextAndBoards","TextNumberMessage.json","hgss.text.text_number_message","Text Number Message","Buffer number and display message line.","TextNumber;Message;WaitButton;CloseMessage","scriptId;bufferId;numberValue;messageId","Template-Scripts/11-TextAndBoards/TextNumberMessage.json"
"12-WarpAndTransition","WarpAndTransition","BasicWarp.json","hgss.warp.basic_warp","Basic Warp","Direct warp command with map, door, coordinates, and direction.","Warp","scriptId;mapId;doorId;x;y;dir","Template-Scripts/12-WarpAndTransition/BasicWarp.json"
"12-WarpAndTransition","WarpAndTransition","FadeWarp.json","hgss.warp.fade_warp","Fade Warp","Fade out, warp, then fade in for smooth transitions.","FadeScreen;WaitFadeScreen;Warp","scriptId;mapId;doorId;x;y;dir","Template-Scripts/12-WarpAndTransition/FadeWarp.json"
"12-WarpAndTransition","WarpAndTransition","ReturnScreenWrapper.json","hgss.warp.return_screen_wrapper","Return Screen Wrapper","Return to overworld screen mode then show follow-up message.","ReturnScreen;Message;WaitButton;CloseMessage","scriptId;messageId","Template-Scripts/12-WarpAndTransition/ReturnScreenWrapper.json"
"99-Misc","Misc","CustomUnknownPattern.json","hgss.misc.custom_unknown_pattern","Custom Unknown Pattern","Round-trip preservation template for unsupported or unknown script lines.","${rawLines}","containerSection;containerId;rawLines","Template-Scripts/99-Misc/CustomUnknownPattern.json"
"99-Misc","Misc","RawActionSnippet.json","hgss.misc.raw_action_snippet","Raw Action Snippet","Freeform action container snippet for movement commands not covered by structured templates.","${rawActionLines};End","actionId;rawActionLines","Template-Scripts/99-Misc/RawActionSnippet.json"
